Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Sonic Drive - In # 3966,78728,05/17/2021,98,"1637 W WELLS BRANCH PKWY
AUSTIN, TX 78728
(30.43924, -97.67091)",12393762,Routine Inspection
ABIA - Salvation Pizza,78719,07/29/2020,93,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202592, -97.666956)",12186432,Routine Inspection
Taqueria Montenegro,78753,05/13/2021,71,"11300 POLLYANNA AVE
AUSTIN, TX 78753
(30.378265, -97.67675)",10113768,Routine Inspection
Taco Bell #030139,78727,06/01/2021,92,"3501 W WELLS BRANCH PKWY
AUSTIN, TX 78727
(30.43991, -97.6969)",11066744,Routine Inspection
MN - Manor Senior High School,78653,08/21/2020,98,"14832 N FM 973 RD
MANOR, TX 78653
(30.38011, -97.52804)",11999232,Routine Inspection
McDonald's # 12430,78731,04/14/2021,86,"5762 N MOPAC EXPY
AUSTIN, TX 78731
(30.33844, -97.75575)",12045842,Routine Inspection
Joe's Italian Kitchen,78660,07/23/2020,95,"1615 GRAND AVENUE PKWY
AUSTIN, TX 78660
(30.45569, -97.65911)",11915188,Routine Inspection
PF - Best Western Plus Inn & Suites,78660,08/11/2020,100,"16101 IMPACT WAY
PFLUGERVILLE, TX 78660
(30.422261, -97.590565)",12392373,Routine Inspection
Swift Pizza Co.,78702,09/23/2021,89,"3223 E 7TH ST
AUSTIN, TX 78702
(30.257988, -97.70474)",12394261,Routine Inspection
Texas Tapas,78701,02/16/2022,100,"607 W 3RD ST
AUSTIN, TX 78701
(30.266869, -97.749497)",12185726,Routine Inspection
PF - Brookhollow Elementary School,78660,04/29/2021,96,"1200 N RAILROAD AVE
PFLUGERVILLE, TX 78660
(30.45174, -97.617315)",12392659,Routine Inspection
Starbucks,78613,10/29/2021,99,"11200 LAKELINE MALL DR
AUSTIN, TX 78613
(30.47186, -97.802769)",11547239,Routine Inspection
Jack in the Box #823,78745,11/20/2019,91,"1801 W BEN WHITE BLVD
AUSTIN, TX 78745
(30.22834, -97.78642)",10789740,Routine Inspection
Fairfield Food Store,78757,11/24/2021,88,"8538 RESEARCH BLVD
AUSTIN, TX 78757
(30.36, -97.71715)",10464870,Routine Inspection
Omni Barton Creek Resort & Spa - Crenshaws,78735,02/26/2020,93,"8212 BARTON CLUB DR
AUSTIN, TX 78735
(30.289977, -97.854022)",12183571,Routine Inspection
ABIA-Saxon Pub Bar,78719,05/14/2021,98,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202592, -97.666956)",12143444,Routine Inspection
TSO Delivery,78759,09/28/2021,70,"9333 RESEARCH BLVD
AUSTIN, TX 78759
(30.382116, -97.740032)",12186113,Routine Inspection
Jo's Coffee Shop,78701,12/01/2021,89,"242 W 2ND ST
AUSTIN, TX 78701
(30.26487, -97.746209)",2802652,Routine Inspection
North Hunan,78753,01/06/2020,89,"9306 N LAMAR BLVD
AUSTIN, TX 78753
(30.362262, -97.697491)",10114364,Follow-Up Inspection
LW - Double Dave's,78738,08/31/2022,94,"3100 S FM 620 RD
LAKEWAY, TX 78738",12185722,Routine Inspection
Peace Of Mind Children's Center,78756,01/11/2022,97,"5615 BURNET RD
AUSTIN, TX 78756
(30.33198, -97.74005)",12393199,Routine Inspection
Starbucks,78613,08/27/2020,86,"11200 LAKELINE MALL DR
AUSTIN, TX 78613
(30.47186, -97.802769)",11547239,Routine Inspection
7-Eleven Convenience Store,78705,06/28/2022,95,"2600 GUADALUPE ST
AUSTIN, TX 78705
(30.290567, -97.741326)",10041113,Routine Inspection
Big Bucket #3,78749,02/11/2020,88,"8906 BRODIE LN
AUSTIN, TX 78749
(30.1952, -97.84299)",12186054,Routine Inspection
Sangam Chettinad Indian Cuisine,78727,04/16/2020,84,"6001 W PARMER LN
AUSTIN, TX 78727
(30.441937, -97.74148)",11964073,Routine Inspection
Alamo Draft House Cinema,78704,05/17/2021,94,"1120 S LAMAR BLVD
AUSTIN, TX 78704
(30.255217, -97.76202)",2802570,Routine Inspection
Fred Groceries Inc.,78723,10/27/2021,89,"6715 E US 290 HWY
AUSTIN, TX 78723
(30.32066, -97.69146)",10001098,Routine Inspection
Mainspring Schools,78704,09/22/2020,98,"1100 W LIVE OAK ST
AUSTIN, TX 78704
(30.24688, -97.76495)",2800732,Routine Inspection
Velvet Taco,78758,10/13/2021,83,"11501 ROCK ROSE AVE
AUSTIN, TX 78758
(30.40141, -97.72264)",11677216,Routine Inspection
Rice Bowl Cafe,78753,05/13/2022,86,"11220 N LAMAR BLVD
AUSTIN, TX 78753
(30.3818, -97.68644)",10446331,Routine Inspection
The Brass Tap,78758,11/23/2021,88,"10910 DOMAIN DR
AUSTIN, TX 78758
(30.39556, -97.72688)",11568282,Routine Inspection
El Jarocho Cuban And Mexican Grill,78753,04/18/2022,80,"13609 N IH
AUSTIN, TX 78753",11951468,Routine Inspection
El Alma Cafe y Cantina,78704,02/14/2022,92,"1025 BARTON SPRINGS RD
AUSTIN, TX 78704
(30.260282, -97.755598)",10319839,Routine Inspection
Austin Aquarium,78750,11/05/2020,98,"13530 N US 183 HWY
AUSTIN, TX 78750
(30.45058, -97.79043)",11790775,Routine Inspection
Seton Medical Center-Cafeteria,78705,09/13/2021,94,"1201 W 38TH ST
AUSTIN, TX 78705
(30.30452, -97.74524)",2800304,Routine Inspection
Walgreens #03092,78759,12/15/2021,100,"8104 MESA DR
AUSTIN, TX 78759
(30.37177, -97.757122)",2803490,Routine Inspection
Subway,78741,01/21/2021,93,"1900 E OLTORF ST
AUSTIN, TX 78741
(30.23129, -97.73502)",2801378,Routine Inspection
Kitty Cohen's,78702,02/25/2022,98,"2211 WEBBERVILLE RD
AUSTIN, TX 78702
(30.261944, -97.716507)",11109248,Routine Inspection
David's Food Store,78704,03/24/2020,96,"912 W MARY ST
AUSTIN, TX 78704
(30.248187, -97.761687)",2803612,Routine Inspection
Quinta Caporales Meat Market,78745,05/06/2020,79,"730 W STASSNEY LN
AUSTIN, TX 78745
(30.20903, -97.782932)",10243065,Routine Inspection
BC - Subway,78738,11/02/2021,97,"12717 SHOPS PKWY
BEE CAVE, TX 78738
(30.30422, -97.94148)",10262005,Routine Inspection
Mooyah Burgers Fries Shakes,78717,09/29/2020,94,"11301 LAKELINE BLVD
AUSTIN, TX 78717
(30.479897, -97.797927)",11508273,Routine Inspection
"Soup Peddler, The",78703,01/25/2022,88,"1112 N LAMAR BLVD
AUSTIN, TX 78703
(30.27656, -97.751518)",11642589,Routine Inspection
Papa John's 4151,78750,08/19/2022,92,"6507 JESTER BLVD
AUSTIN, TX 78750
(30.36958, -97.80005)",12396298,Routine Inspection
Lost Creek Country Club,78746,07/20/2021,86,"2612 LOST CREEK BLVD
AUSTIN, TX 78746
(30.275231, -97.843793)",2800703,Routine Inspection
River Ridge Elementary - Leander Elementary #23,78732,01/28/2022,100,"12900 TIERRA GRANDE TRL
AUSTIN, TX 78732
(30.345124, -97.916468)",10276728,Routine Inspection
Kolache Factory,78705,01/12/2022,93,"3706 N LAMAR BLVD
AUSTIN, TX 78705
(30.304696, -97.74339)",12186508,Routine Inspection
Rudy's Country Store and BBQ,78746,05/15/2020,96,"2451 S CAPITAL OF TEXAS HWY
AUSTIN, TX 78746
(30.263083, -97.816129)",2801090,Routine Inspection
McDonald's at Parmer & Dessau,78753,05/21/2021,95,"1608 E PARMER LN
AUSTIN, TX 78753
(30.387715, -97.649566)",11024144,Routine Inspection
Schlotzsky's,78729,02/07/2022,95,"6301 W PARMER LN
AUSTIN, TX 78729
(30.445312, -97.743258)",11816862,Routine Inspection
HEB #236,78660,05/22/2020,100,"1434 W WELLS BRANCH PKWY
AUSTIN, TX 78660
(30.44118, -97.66464)",2803449,Routine Inspection
MN - Manor Elementary School,78653,08/20/2020,97,"12904 GREGG MANOR RD
MANOR, TX 78653
(30.35761, -97.56152)",10002011,Routine Inspection
Flat Creek Estate,78654,03/18/2021,99,"24912 E SINGLETON BEND RD
MARBLE FALLS, TX 78654
(30.4793, -98.04539)",2803125,Routine Inspection
WL - Chipotle Mexican Grill #43,78746,04/24/2020,100,"3300 BEE CAVES RD
WEST LAKE HILLS, TX 78746
(30.274936, -97.801157)",10179442,Routine Inspection
7-Eleven Convenience Store # 24909B,78745,12/01/2021,96,"8010 BRODIE LN
AUSTIN, TX 78745
(30.202875, -97.837567)",12071802,Routine Inspection
Little Brother Bar,78701,04/14/2022,99,"89 RAINEY ST
AUSTIN, TX 78701
(30.260118, -97.738287)",12083175,Routine Inspection
Westlake High School,78746,05/18/2022,97,"3800 WESTBANK DR
WEST LAKE HILLS, TX 78746",2801701,Routine Inspection
PF - Patty's Pizza & Wings,78660,08/16/2022,100,"20205 FM 685 RD
PFLUGERVILLE, TX 78660
(30.48383, -97.58443)",12186586,Routine Inspection
Jack in the Box #906,78729,09/01/2020,97,"7404 MC NEIL DR
AUSTIN, TX 78729
(30.43535, -97.76824)",10789961,Routine Inspection
Thundercloud Subs,78748,07/02/2021,86,"1807 W SLAUGHTER LN
AUSTIN, TX 78748
(30.17364, -97.82357)",2800742,Routine Inspection
Starbuck's Coffee#6203,78759,12/08/2020,100,"9722 GREAT HILLS TRL
AUSTIN, TX 78759
(30.394526, -97.752081)",2800798,Routine Inspection
Dearing Elementary School,78660,01/28/2021,100,"4301 GATTIS SCHOOL RD
PFLUGERVILLE, TX 78660
(30.49727, -97.59365)",11199110,Routine Inspection
Mobile Loaves and Fishes - Community First Village,78724,01/11/2021,98,"9301 HOG EYE RD
AUSTIN, TX 78724
(30.282493, -97.623183)",11845561,Routine Inspection
HEB #8,78704,12/27/2021,100,"2400 S CONGRESS AVE
AUSTIN, TX 78704
(30.238293, -97.754001)",2803579,Routine Inspection
Onion Creek Texaco,78747,08/18/2021,90,"11031 S IH
AUSTIN, TX 78747",10082729,Routine Inspection
LIL DODDY,78749,06/23/2021,75,"4625 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.223705, -97.843804)",12152308,Routine Inspection
AA Foodmart #2,78723,11/30/2020,83,"6649 MANOR RD
AUSTIN, TX 78723
(30.30978, -97.66753)",12186104,Routine Inspection
Patton Elementary School,78749,09/16/2022,100,"6001 WESTCREEK DR
AUSTIN, TX 78749
(30.232123, -97.846118)",2800332,Routine Inspection
WL - Blue Dahlia Bistro,78746,09/10/2020,91,"3663 BEE CAVES RD
WEST LAKE HILLS, TX 78746
(30.278971, -97.80644)",10733978,Routine Inspection
Two Hands,78704,11/18/2021,93,"1011 S CONGRESS AVE
AUSTIN, TX 78704
(30.253561, -97.7482)",12393371,Routine Inspection
ABIA - Austin City Market,78719,01/19/2022,92,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202592, -97.666956)",12392826,Routine Inspection
Jack in the Box #912,78723,10/06/2021,90,"6540 ED BLUESTEIN BLVD
AUSTIN, TX 78723
(30.304244, -97.661165)",10790632,Routine Inspection
Hop Doddy Burger Bar,78751,07/07/2021,86,"4615 N LAMAR BLVD
AUSTIN, TX 78751
(30.315698, -97.734997)",11588014,Routine Inspection
Asia Cafe,78759,06/28/2022,80,"8650 SPICEWOOD SPRINGS RD
AUSTIN, TX 78759
(30.433561, -97.77183)",11219982,Routine Inspection
Ruby Thai Kitchen,78746,05/27/2020,90,"2901 S CAPITAL OF TEXAS HWY
AUSTIN, TX 78746
(30.255443, -97.810066)",12392660,Routine Inspection
Texadelphia,78613,10/28/2020,84,"14010 N US 183 HWY
AUSTIN, TX 78613
(30.47449, -97.79997)",2802968,Routine Inspection
PF - Patty's Pizza & Wings,78660,08/27/2020,93,"20205 FM 685 RD
PFLUGERVILLE, TX 78660
(30.48383, -97.58443)",12186586,Routine Inspection
Bee Delightful,78745,07/17/2020,100,"1606 W STASSNEY LN
AUSTIN, TX 78745
(30.2137, -97.79283)",11681492,Routine Inspection
ABIA-Heart of Austin (Main Kitchen),78719,05/14/2021,96,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202592, -97.666956)",12143458,Routine Inspection
Hampton Inn and Suites Austin,78750,08/24/2021,100,"10811 PECAN PARK BLVD
AUSTIN, TX 78750
(30.463768, -97.802952)",10016822,Routine Inspection
LW - Cafe Lago,78734,03/26/2020,86,"1200 LAKEWAY DR
LAKEWAY, TX 78734
(30.362742, -97.982641)",10484226,Routine Inspection
La Madeleine # 204,78723,08/23/2022,92,"1201 BARBARA JORDAN BLVD
AUSTIN, TX 78723
(30.306488, -97.708842)",11763339,Routine Inspection
Pok-E-Jo's Hancock,78751,08/25/2020,92,"1000 E 41ST ST
AUSTIN, TX 78751
(30.298554, -97.72006)",2803036,Routine Inspection
LW - Flintrock Falls Country Club,78738,02/24/2020,84,"401 JACK NICKLAUS DR
LAKEWAY, TX 78738
(30.338767, -97.982697)",10005392,Routine Inspection
BBG's,78701,01/13/2021,82,"214 E 6TH ST
AUSTIN, TX 78701
(30.26747, -97.74068)",10304661,Routine Inspection
Catering by Rosemary,78750,02/20/2020,87,"6433 CHAMPION GRANDVIEW WAY
AUSTIN, TX 78750
(30.363132, -97.792703)",11458533,Routine Inspection
Tortilleria Rio Grande,78753,09/17/2020,96,"900 E BRAKER LN
AUSTIN, TX 78753
(30.376, -97.67363)",10239712,Routine Inspection
Neighborhood Goods,78704,10/29/2020,96,"1007 S CONGRESS AVE
AUSTIN, TX 78704
(30.254545, -97.747855)",12392661,Routine Inspection
Home 2 Suites by Hilton,78741,06/08/2020,97,"1705 AIRPORT COMMERCE DR
AUSTIN, TX 78741
(30.221194, -97.690654)",12072759,Routine Inspection
LEAF,78701,12/09/2019,89,"115 W 6TH ST
AUSTIN, TX 78701
(30.268307, -97.743694)",11463378,Routine Inspection
Gloria's Restaurant,78701,03/18/2021,87,"300 W 6TH ST
AUSTIN, TX 78701
(30.268876, -97.745732)",10879710,Routine Inspection
Lavaca Street Bar,78701,08/24/2022,89,"405 LAVACA ST
AUSTIN, TX 78701
(30.26729, -97.74574)",2801820,Routine Inspection
Crow Bar,78704,06/09/2022,92,"3116 S CONGRESS AVE
AUSTIN, TX 78704
(30.231186, -97.75927)",10431821,Routine Inspection
Summer Moon Coffee,78753,04/27/2022,95,"12901 N IH
AUSTIN, TX 78753",12395086,Routine Inspection
"Backspace, The",78757,08/02/2021,87,"1745 W ANDERSON LN
AUSTIN, TX 78757
(30.35308, -97.72481)",12392934,Routine Inspection
Tee's Donuts,78731,01/18/2022,91,"3742 FAR WEST BLVD
AUSTIN, TX 78731
(30.355859, -97.758223)",11655910,Routine Inspection
Cipollina,78703,04/07/2021,87,"1213 WEST LYNN ST
AUSTIN, TX 78703
(30.28089, -97.75869)",2801292,Routine Inspection
Omni Barton Creek,78735,05/26/2021,89,"8501 CARRANZO DR
AUSTIN, TX 78735
(30.27185, -97.87685)",11874640,Routine Inspection
"Diamond Chicken Pot, LLC",78653,06/16/2022,84,"12836 E US 290 HWY
MANOR, TX 78653
(30.34974, -97.52445)",12395280,Routine Inspection
Kome Sushi Kitchen,78751,06/18/2020,83,"5301 AIRPORT BLVD
AUSTIN, TX 78751
(30.31428, -97.71465)",11814339,Routine Inspection
PF- Cedar Mart,78660,11/04/2021,87,"18900 N HEATHERWILD BLVD
STE A PFLUGERVILLE, TX 78660
(30.48076, -97.61624)",12186627,Routine Inspection
Uncle Phan Restaurant LLC,78753,01/11/2022,97,"10901 N LAMAR BLVD
AUSTIN, TX 78753
(30.378477, -97.688329)",11760178,Routine Inspection
Twin Panda,78717,07/09/2021,90,"9231 W PARMER LN
AUSTIN, TX 78717
(30.47881, -97.76598)",11631913,Follow-Up Inspection
Springhill Restaurant,78660,11/19/2019,75,"2505 W PECAN ST
AUSTIN, TX 78660
(30.44762, -97.65354)",2800673,Routine Inspection
Rositas Al Pastor,78704,07/17/2020,95,"2414 S 1ST ST
AUSTIN, TX 78704
(30.24159, -97.76002)",11801877,Routine Inspection
Bao'd Up,78741,10/27/2021,92,"1920 E RIVERSIDE DR
AUSTIN, TX 78741
(30.242031, -97.728362)",12394354,Routine Inspection
Kwik Star,78722,08/01/2022,90,"3839 AIRPORT BLVD
AUSTIN, TX 78722
(30.288829, -97.707077)",12185963,Routine Inspection
Starbucks Coffee Company #54430,78758,10/20/2021,91,"2711 W BRAKER LN
AUSTIN, TX 78758
(30.391076, -97.721701)",12392993,Routine Inspection
Ronnies Real Food,78733,07/27/2020,98,"205 S COMMONS FORD RD
AUSTIN, TX 78733
(30.33334, -97.88552)",2801868,Routine Inspection
Phoenix Academy,78704,10/14/2021,97,"400 W LIVE OAK ST
AUSTIN, TX 78704
(30.243561, -97.756071)",2801515,Routine Inspection
Stepping Stone Child Care,78757,07/01/2022,93,"1710 RICHCREEK RD
AUSTIN, TX 78757
(30.34712, -97.7272)",2800498,Routine Inspection
Ruta Maya Importing Ltd.,78744,07/30/2021,100,"6231 E STASSNEY LN
AUSTIN, TX 78744
(30.201292, -97.721425)",11705232,Routine Inspection
Rutland Market,78758,08/23/2021,82,"900 RUTLAND DR
AUSTIN, TX 78758
(30.36586, -97.69817)",10028448,Routine Inspection
WL - Westlake Athletic and Community Center,78746,11/01/2019,93,"4300 WESTBANK DR
WEST LAKE HILLS, TX 78746
(30.27696, -97.81814)",11450417,Routine Inspection
Taco-Mex,78722,04/14/2022,87,"2611 MANOR RD
AUSTIN, TX 78722
(30.284962, -97.714944)",10265426,Routine Inspection
HEB Food Store #227 (deli-bakery-meat dept),78748,12/14/2021,99,"2110 W SLAUGHTER LN
AUSTIN, TX 78748
(30.173754, -97.825398)",2803444,Routine Inspection
Austin Daily Press,78722,10/21/2020,78,"1900 E MARTIN LUTHER KING JR BLVD
AUSTIN, TX 78722
(30.27982, -97.721)",10816913,Routine Inspection
OOB 827 Ray's Kitchen + Cellar,78734,10/25/2019,85,"3519 N FM 620 RD
AUSTIN, TX 78734
(30.39721, -97.9312)",11523857,Routine Inspection
Barton Hill Food Mart,78704,09/15/2022,80,"2900 S LAMAR BLVD
AUSTIN, TX 78704
(30.243401, -97.7826)",10235373,Routine Inspection
7-Eleven Convenience Store #38054A,78758,11/26/2019,76,"11800 METRIC BLVD
AUSTIN, TX 78758
(30.398009, -97.704697)",11799285,Routine Inspection
Chipotle Mexican Grill #1723,78704,01/20/2022,97,"2320 S LAMAR BLVD
AUSTIN, TX 78704
(30.247216, -97.775896)",10828111,Routine Inspection
Desi Brothers,78727,06/11/2020,82,"2506 W PARMER LN
AUSTIN, TX 78727
(30.41922, -97.70236)",12186097,Routine Inspection
Barley Bean South Lamar,78704,04/15/2020,97,"3600 S LAMAR BLVD
AUSTIN, TX 78704
(30.239082, -97.788675)",11811291,Routine Inspection
Walgreen's #01970,78727,05/06/2020,95,"3407 W WELLS BRANCH PKWY
AUSTIN, TX 78727
(30.43917, -97.69625)",2804025,Routine Inspection
Flores on the Bend,78734,12/21/2021,84,"5000 HUDSON BEND RD
AUSTIN, TX 78734
(30.41215, -97.92685)",12393229,Routine Inspection
Cru Wine Bar @ The Domain,78758,03/24/2020,96,"11410 CENTURY OAKS TER
AUSTIN, TX 78758
(30.400787, -97.726609)",10116960,Routine Inspection
Kwik Star,78722,09/17/2020,94,"3839 AIRPORT BLVD
AUSTIN, TX 78722
(30.288829, -97.707077)",12185963,Routine Inspection
Bamboo Bistro,78758,08/10/2020,81,"11101 BURNET RD
AUSTIN, TX 78758
(30.396129, -97.720128)",10439962,Routine Inspection
Kentucky Fried Chicken,78727,01/04/2022,90,"1700 W PARMER LN
AUSTIN, TX 78727
(30.412511, -97.688908)",11789529,Routine Inspection
La Palapa,78752,11/13/2019,88,"6640 E US 290 HWY
AUSTIN, TX 78752
(30.32206, -97.69317)",11786586,Routine Inspection
Red Ash Restaurant,78701,01/12/2022,93,"303 COLORADO ST
AUSTIN, TX 78701
(30.265936, -97.745057)",11564790,Routine Inspection
McDonald's # 12430,78731,01/24/2020,91,"5762 N MOPAC EXPY
AUSTIN, TX 78731
(30.33844, -97.75575)",12045842,Routine Inspection
Taco Deli,78746,03/05/2020,97,"1500 SPYGLASS DR
AUSTIN, TX 78746
(30.258663, -97.786729)",2801355,Routine Inspection
Fresa's Chicken,78704,06/10/2020,94,"1703 S 1ST ST
AUSTIN, TX 78704
(30.247985, -97.755631)",11566549,Routine Inspection
LW - Lakeway Elementary School,78734,01/15/2021,98,"1701 LOHMANS CROSSING RD
BLDG A LAKEWAY, TX 78734
(30.35296, -97.9763)",2800942,Routine Inspection
Accent Food Services,78753,05/28/2020,100,"1200 E ANDERSON LN
AUSTIN, TX 78753
(30.33518, -97.6901)",11621553,Routine Inspection
